_id,flight_iata,flight_icao,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,arr_iata,arr_icao,arr_time,status,duration,delayed,__v
63189a58ddaca31c0f993e8d,LY395,ELY395,TLV,LLBG,3,,2022-09-08 06:40,MAD,LEMD,2022-09-08 11:00,scheduled,320,0,0
63189a58ddaca31c0f993e8e,LY2365,ELY2365,TLV,LLBG,3,,2022-09-08 06:45,BUD,LHBP,2022-09-08 09:05,scheduled,200,0,0
63189a58ddaca31c0f993e8f,AA7026,AAL7026,TLV,LLBG,3,,2022-09-08 07:10,LHR,EGLL,2022-09-08 10:30,scheduled,320,0,0
63189a58ddaca31c0f993e90,BA166,BAW166,TLV,LLBG,3,,2022-09-08 07:10,LHR,EGLL,2022-09-08 10:30,scheduled,320,0,0
63189a58ddaca31c0f993e91,AA8385,AAL8385,TLV,LLBG,3,,2022-09-08 07:45,MXP,LIMC,2022-09-08 10:55,scheduled,250,0,0
63189a58ddaca31c0f993e92,LY381,ELY381,TLV,LLBG,3,,2022-09-08 07:45,MXP,LIMC,2022-09-08 10:55,scheduled,250,0,0
63189a58ddaca31c0f993e93,TP8910,TAP8910,TLV,LLBG,3,,2022-09-08 07:45,MXP,LIMC,2022-09-08 10:55,scheduled,250,0,0
6318a871577a4ecb3e229903,HY301,UZB301,TAS,UTTT,2,,2022-09-08 05:05,TLV,LLBG,2022-09-08 08:35,scheduled,330,0,0
6318b8d5577a4ecb3e22d254,U6725,SVR725,SVX,USSS,,,2022-09-08 06:50,TLV,LLBG,2022-09-08 10:00,cancelled,310,0,0
6318b8d5577a4ecb3e22d330,TK793,THY793,TLV,LLBG,3,,2022-09-08 04:50,IST,LTFM,2022-09-08 07:10,scheduled,140,0,0
6318c5b6577a4ecb3e22f4c9,A3929,AEE929,TLV,LLBG,3,,2022-09-08 05:10,ATH,LGAV,2022-09-08 07:20,scheduled,130,0,0
6318c5b6577a4ecb3e22f4cb,PC786,PGT786,TLV,LLBG,,,2022-09-08 05:10,SAW,LTFJ,2022-09-08 07:25,scheduled,135,0,0
6318c5b6577a4ecb3e22f4de,PC788,PGT788,TLV,LLBG,1,,2022-09-08 06:00,AYT,LTAI,2022-09-08 07:35,scheduled,95,0,0
6318c6ce577a4ecb3e22f5af,W64605,WZZ4605,LCA,LCLK,,,2022-09-08 05:50,TLV,LLBG,2022-09-08 06:55,scheduled,65,0,0
6318c6ce577a4ecb3e22f5b2,TK7708,THY7708,SAW,LTFJ,,,2022-09-08 05:45,TLV,LLBG,2022-09-08 07:40,scheduled,115,0,0
6318c6ce577a4ecb3e22f5b3,9U547,MLD547,KIV,LUKK,,,2022-09-08 05:20,TLV,LLBG,2022-09-08 08:05,scheduled,165,0,0
6318c6ce577a4ecb3e22f5b4,W64427,WZZ4427,SOF,LBSF,1,,2022-09-08 06:00,TLV,LLBG,2022-09-08 08:25,scheduled,145,0,0
6318c6ce577a4ecb3e22f5b6,W63257,WZZ3257,OTP,LROP,,,2022-09-08 05:55,TLV,LLBG,2022-09-08 08:35,scheduled,160,0,0
6318c6ce577a4ecb3e22f5b7,W63479,WZZ3479,CLJ,LRCL,,,2022-09-08 05:35,TLV,LLBG,2022-09-08 08:35,scheduled,180,0,0
6318cb97417b1cb01680d807,0
6318d3e00a9c553ba7a7b91a,TK7711,THY7711,TLV,LLBG,,2022-09-08 06:20,SAW,LTFJ,2022-09-08 08:20,scheduled,120,0,0
6318d3e00a9c553ba7a7b91b,XQ7711,SXS7711,TLV,LLBG,,2022-09-08 06:20,SAW,LTFJ,2022-09-08 08:20,scheduled,120,0,0
